Clostridium botulinum,Firmicutes / Clostridiaceae / Clostridium,C. tetani,Botulism toxin causing flaccid paralysis,Botulinum neurotoxin cleaves SNARE proteins,Antitoxin; supportive ventilation,
Clostridium tetani,Firmicutes / Clostridiaceae / Clostridium,C. botulinum,Tetanus toxin causing spastic paralysis,Tetanus neurotoxin targets synaptic proteins,Tetanus immunoglobulin; Toxoid vaccine (DTaP/Tdap),Vaccine-preventable
Bacillus anthracis,Firmicutes / Bacillaceae / Bacillus,Other spore-formers (Clostridium),Anthrax; spore-forming; toxin-mediated,Protective antigen; lethal factor toxins,Ciprofloxacin; Doxycycline; Anthrax vaccine (for high-risk),
Listeria monocytogenes,Firmicutes / Listeriaceae / Listeria,Intracellular bacteria (Listeria-like),Foodborne meningitis; intracellular invasion,Actin-mediated motility; internalin entry,Ampicillin; Gentamicin,
Salmonella enterica (Typhi),Proteobacteria / Enterobacteriaceae / Salmonella,Non-typhoidal Salmonella,Typhoid fever; systemic infection,Type III secretion system; intracellular survival,Ceftriaxone; Azithromycin,
Salmonella enterica (Non-typhoidal),Proteobacteria / Enterobacteriaceae / Salmonella,Typhoidal Salmonella,Gastroenteritis; sometimes invasive,T3SS; endotoxin,Fluoroquinolones; Azithromycin,
Vibrio cholerae,Proteobacteria / Vibrionaceae / Vibrio,V. parahaemolyticus,Cholera; toxin-mediated secretory diarrhea,Cholera toxin increases cAMP via ADP-ribosylation,Rehydration therapy; Doxycycline/Azithromycin in severe cases,
Vibrio vulnificus,Proteobacteria / Vibrionaceae / Vibrio,V. cholerae,"Wound infections, sepsis from seawater exposure",Capsule and virulence factors,Doxycycline + Ceftriaxone,
Helicobacter pylori,Proteobacteria / Helicobacteraceae / Helicobacter,Campylobacter jejuni,"Gastritis, ulcers; urease activity; mucosal colonization",Urease enzyme; cell wall targets,PPI + Clarithromycin + Amoxicillin/Metronidazole,
Campylobacter jejuni,Proteobacteria / Campylobacteraceae / Campylobacter,H. pylori (gastrointestinal pathogens),Gastroenteritis; Guillain-Barré link,Flagellar motility; adhesion,Azithromycin; Fluoroquinolones (resistance rising),
Borrelia burgdorferi,Spirochaetes / Spirochaetaceae / Borrelia,Treponema pallidum,Lyme disease; tick-borne; immune evasion,Outer surface proteins (Osp); motility,Doxycycline; Amoxicillin,
Treponema pallidum,Spirochaetes / Treponemataceae / Treponema,Borrelia burgdorferi,Syphilis; systemic stages,Spirochetal motility; host interaction,Benzathine penicillin,
Mycoplasma pneumoniae,Tenericutes / Mycoplasmataceae / Mycoplasma,Ureaplasma spp.,Atypical pneumonia; lacks cell wall,Protein synthesis; membrane,Macrolides (Azithromycin); Tetracyclines,
Ureaplasma urealyticum,Tenericutes / Mycoplasmataceae / Ureaplasma,Mycoplasma spp.,Urogenital infections; no cell wall,Protein synthesis,Macrolides; Tetracyclines,
Haemophilus influenzae,Proteobacteria / Pasteurellaceae / Haemophilus,Moraxella catarrhalis,Respiratory infections; historic Hib meningitis,Cell wall synthesis; capsule (type b),Amoxicillin; Ceftriaxone; Hib vaccine (type b),
Moraxella catarrhalis,Proteobacteria / Moraxellaceae / Moraxella,H. influenzae,Otitis media; respiratory infections,Beta-lactamase production; outer membrane proteins,Amoxicillin-clavulanate,
Pasteurella multocida,Proteobacteria / Pasteurellaceae / Pasteurella,Animal-bite pathogens (Capnocytophaga),Wound infections from animal bites,Capsule; outer membrane,Amoxicillin-clavulanate,
Legionella pneumophila,Proteobacteria / Legionellaceae / Legionella,Other Legionella spp.,Legionnaires' disease; intracellular in amoebae and macrophages,Type IV secretion system; intracellular survival,Macrolides (Azithromycin); Levofloxacin,
Brucella melitensis,Proteobacteria / Brucellaceae / Brucella,Other Brucella spp.,Undulant fever; zoonosis; intracellular persistence,Intracellular survival in macrophages,Doxycycline + Rifampicin,
Francisella tularensis,Proteobacteria / Francisellaceae / Francisella,Other zoonotic intracellular pathogens,Tularemia; high infectivity; intracellular,Intracellular survival mechanisms,Streptomycin; Gentamicin; Doxycycline,
Yersinia pestis,Proteobacteria / Yersiniaceae / Yersinia,Historical plague agent (Y. pestis),Plague; flea-borne; T3SS-mediated virulence,Type III secretion system; toxins,Streptomycin; Doxycycline; Ciprofloxacin,
Bordetella pertussis,Proteobacteria / Alcaligenaceae / Bordetella,Other respiratory bacterial pathogens,Whooping cough; toxin-mediated,Pertussis toxin; adhesins,DTaP/Tdap vaccine; Macrolides (Azithromycin),
Streptococcus pyogenes (GAS),Firmicutes / Streptococcaceae / Streptococcus,S. pneumoniae (some overlaps),"Pharyngitis, necrotizing fasciitis; toxin-mediated",Cell wall synthesis; streptolysins,Penicillin; Macrolides,
Streptococcus agalactiae (GBS),Firmicutes / Streptococcaceae / Streptococcus,Other streptococci,Neonatal sepsis and meningitis,Cell wall synthesis; capsule,Penicillin; intrapartum prophylaxis,
Vibrio parahaemolyticus,Proteobacteria / Vibrionaceae / Vibrio,V. cholerae,Seafood-associated gastroenteritis,Toxins and adhesion,Supportive; Doxycycline in severe cases,
Klebsiella oxytoca,Proteobacteria / Enterobacteriaceae / Klebsiella,K. pneumoniae,UTI; resistance potential,Cell wall; capsule,Cephalosporins; Carbapenems,
Enterobacter cloacae,Proteobacteria / Enterobacteriaceae / Enterobacter,Nosocomial Enterobacteriaceae,AmpC beta-lactamase producers,Beta-lactamases; efflux,Carbapenems; Cefepime,
Serratia marcescens,Proteobacteria / Enterobacteriaceae / Serratia,Enterobacteriaceae,HAI; red pigment,Biofilm; beta-lactamases,Carbapenems; Aminoglycosides,
Proteus mirabilis,Proteobacteria / Enterobacteriaceae / Proteus,Uropathogenic E. coli,UTIs; urease producing,Urease; fimbriae,TMP-SMX; Ciprofloxacin,
Providencia stuartii,Proteobacteria / Enterobacteriaceae / Providencia,Enterobacteriaceae group,Catheter-associated UTIs,Multiple resistance mechanisms,Carbapenems; Aminoglycosides,
Morganella morganii,Proteobacteria / Enterobacteriaceae / Morganella,Enterobacteriaceae,Opportunistic UTIs,Various virulence factors,Ceftriaxone; Carbapenems,
Citrobacter freundii,Proteobacteria / Enterobacteriaceae / Citrobacter,Enterobacteriaceae,Nosocomial infections; AmpC producers,Beta-lactamases,Carbapenems; Cefepime,
Capnocytophaga canimorsus,Bacteroidetes / Capnocytophaga,Animal bite pathogens,Sepsis after dog/cat bites; asplenic risk,Capsular factors,Amoxicillin-clavulanate; Penicillin,
Leptospira interrogans,Spirochaetes / Leptospiraceae / Leptospira,Spirochetes; zoonoses,Leptospirosis; liver/kidney involvement,Motility and immune evasion,Doxycycline; Penicillin,
Rickettsia rickettsii,Proteobacteria / Rickettsiaceae / Rickettsia,Spotted fever group Rickettsiae,Rocky Mountain spotted fever; tick-borne,Endothelial infection; intracellular,Doxycycline,
Orientia tsutsugamushi,Proteobacteria / Rickettsiaceae,Scrub typhus,Chigger-borne rickettsial disease,Intracellular survival,Doxycycline; Azithromycin,
Chlamydia trachomatis,Proteobacteria / Chlamydiaceae / Chlamydia,Obligate intracellular bacteria,STI; trachoma,Intracellular replication; unique cell wall,Azithromycin; Doxycycline,
Chlamydophila pneumoniae,Proteobacteria / Chlamydiaceae / Chlamydophila,Respiratory chlamydia,Atypical pneumonia,Intracellular replication,Macrolides; Tetracyclines,
Gardnerella vaginalis,Actinobacteria / Bifidobacteriaceae / Gardnerella,BV-associated flora,Bacterial vaginosis; biofilm,Biofilm; metabolic shifts,Metronidazole; Clindamycin,
Bacteroides fragilis,Bacteroidetes / Bacteroidaceae / Bacteroides,Anaerobic gut flora,Intra-abdominal infections; abscess,Beta-lactamases; anaerobic metabolism,Metronidazole; Beta-lactam/beta-lactamase inhibitors,
Prevotella spp.,Bacteroidetes / Prevotellaceae / Prevotella,Oral anaerobes,Oral/periodontal infections,Anaerobic virulence,Metronidazole; Clindamycin,
Fusobacterium nucleatum,Fusobacteria / Fusobacteriaceae / Fusobacterium,Oral pathogens,Periodontal disease; CRC link,Adhesins; invasins,Metronidazole; Beta-lactams,
Clostridium perfringens,Firmicutes / Clostridiaceae / Clostridium,Gas gangrene pathogens,Gas gangrene; toxin-mediated,Alpha toxin (lecithinase),Penicillin; surgical debridement,
Aeromonas hydrophila,Proteobacteria / Aeromonadaceae / Aeromonas,Water-associated infections,Wound infections; gastroenteritis,Toxins and adhesins,Fluoroquinolones; Doxycycline,
Edwardsiella tarda,Proteobacteria / Enterobacteriaceae / Edwardsiella,Aquatic pathogens,Wound/fish-associated infections,Endotoxin; virulence factors,Third-generation cephalosporins; Fluoroquinolones,
Helicobacter cinaedi,Proteobacteria / Helicobacteraceae / Helicobacter,GI/skin infections in immunocompromised,Bacteremia; cellulitis,Motility and adhesion,Beta-lactams; Tetracyclines,
Stenotrophomonas maltophilia,Proteobacteria / Xanthomonadaceae / Stenotrophomonas,Opportunistic nosocomial pathogens,Intrinsic resistance; respiratory infections,Metallo-beta-lactamases; efflux,Trimethoprim-sulfamethoxazole; Minocycline,
Burkholderia cepacia complex,Proteobacteria / Burkholderiaceae / Burkholderia,CF lung pathogens,Chronic lung infection in CF; intrinsic resistance,Efflux pumps; biofilm,Ceftazidime; Meropenem,
Burkholderia pseudomallei,Proteobacteria / Burkholderiaceae / Burkholderia,Melioidosis agent,Melioidosis; environmental pathogen,Intracellular survival; capsule,Ceftazidime; Meropenem; TMP-SMX,
Nocardia asteroides,Actinobacteria / Nocardiaceae / Nocardia,Branching filamentous bacteria,Pulmonary/cutaneous nocardiosis; brain abscesses,Cell wall with mycolic acids,TMP-SMX; Carbapenems,
Actinomyces israelii,Actinobacteria / Actinomycetaceae / Actinomyces,Oral commensals causing chronic infection,Cervicofacial actinomycosis; draining sinuses,Filamentous growth; sulfur granules,Penicillin; surgical drainage,
Corynebacterium diphtheriae,Actinobacteria / Corynebacteriaceae / Corynebacterium,Diphtheria agent,Toxin-mediated pharyngitis and myocarditis,Diphtheria toxin (EF-2 inhibition),Diphtheria antitoxin; DTaP vaccine; Erythromycin/Penicillin,
Staphylococcus epidermidis,Firmicutes / Staphylococcaceae / Staphylococcus,Coagulase-negative staphylococci,Biofilm on devices; opportunistic infections,Biofilm formation; adhesins,Removal of device; Vancomycin,
Streptobacillus moniliformis,Proteobacteria / Leptotrichiaceae / Streptobacillus,Rat-bite fever agent,Systemic febrile illness after rodent exposure,Unknown specific target,Penicillin,
Eikenella corrodens,Proteobacteria / Neisseriaceae / Eikenella,Human bite wound infections,Oral flora; wound infections,Unknown specific target,Ampicillin-sulbactam; Penicillin,
