Human parvovirus B19,Parvoviridae / Erythroparvovirus,Erythroparvoviruses,Erythema infectiosum; erythroid tropism,Capsid; NS1 protein,Supportive; IVIG for severe cases,
Mpox (Monkeypox virus),Poxviridae / Orthopoxvirus,Smallpox; Vaccinia,Zoonotic rash illness,Envelope proteins; replication machinery,JYNNEOS vaccine; Tecovirimat,
Dengue virus,Flaviviridae / Flavivirus,Zika; Yellow fever; West Nile,Mosquito-borne; ADE concerns; 4 serotypes,NS5 RdRp; NS3 protease; envelope,Supportive; Dengvaxia (limited use); investigational antivirals,
Zika virus,Flaviviridae / Flavivirus,Dengue; Yellow fever,Flavivirus with neurotropism in fetus,NS5; NS3; envelope,Supportive; vaccine candidates,
Yellow fever virus,Flaviviridae / Flavivirus,Dengue; Zika,Vaccine-preventable flavivirus,NS5; structural proteins,YF-17D vaccine,
West Nile virus,Flaviviridae / Flavivirus,Dengue; Zika,Neuroinvasive in some cases,NS5 polymerase; envelope glycoprotein,Supportive care,
Saffold virus,Picornaviridae / Cardiovirus,Cardioviruses,Mostly mild pediatric infections,Replication proteins,Supportive care,
Human pegivirus (GBV-C),Flaviviridae-like / Pegivirus,Often asymptomatic; bloodborne,Viral replication proteins,No specific therapy,,
Human pegivirus 2 (HPgV-2),Flaviviridae-like / Pegivirus,Bloodborne; limited pathogenicity,Replication proteins,Supportive care,,
Usutu virus,Flaviviridae / Flavivirus,West Nile-like flaviviruses,Neuroinvasive in birds; occasional human disease,NS5 polymerase,Supportive care,
Cache Valley virus,Peribunyaviridae / Orthobunyavirus,Orthobunyaviruses,Rare human disease,RdRp,Supportive care,
SARS-like bat coronaviruses (surveillance),Coronaviridae / Betacoronavirus (bat),SARS-like viruses,Potential spillover; spike-mediated entry,Spike; RdRp,Surveillance & research,
Nipah-like henipaviruses (surveillance),Paramyxoviridae / Henipavirus,Nipah/Hendra-like,Potential spillover with encephalitis,G/F glycoproteins,Surveillance; experimental countermeasures,
HPV type 31,Papillomaviridae / Alphapapillomavirus,High-risk HPV types,Oncogenic E6/E7,HPV vaccines (Gardasil covers multiple types),,
HPV type 33,Papillomaviridae / Alphapapillomavirus,High-risk HPV types,Oncogenic E6/E7,HPV vaccines,,
Influenza A H5N1 (avian),Orthomyxoviridae / Influenzavirus A,Avian influenza,Highly pathogenic in birds; zoonotic,HA; NA; polymerase,Avian/human experimental vaccines,
Influenza A H7N9 (avian),Orthomyxoviridae / Influenzavirus A,Avian-origin influenza causing human outbreaks,HA; NA,Supportive; avian vaccines,,
SARS-CoV-2 Omicron (variant),Coronaviridae / Betacoronavirus,SARS-CoV-2 variants,Immune escape via spike mutations,Spike protein (mutated),Updated vaccine boosters; antivirals,
SARS-CoV-2 Delta (variant),Coronaviridae / Betacoronavirus,SARS-CoV-2 variants,Higher transmissibility; spike mutations,Spike protein,Vaccines; antivirals,
HPV type 18,Papillomaviridae / Alphapapillomavirus,High-risk HPV,Oncogenic E6/E7,HPV vaccines,,
Echovirus (group examples),Picornaviridae / Enterovirus,Enteroviruses,Neurologic/systemic disease in some serotypes,Capsid; protease,Supportive care,
Enterovirus D68,Picornaviridae / Enterovirus,Enteroviruses; rhinovirus-like,Respiratory illness; AFM association,Capsid/replication enzymes,Supportive care,
Human coronavirus HKU2 (porcine-related spillover potential),Coronaviridae / Alphacoronavirus,Animal-origin coronaviruses,Potential zoonotic spillover,Spike; RdRp,Surveillance,
Human coronavirus 229E (repeat ensured),Coronaviridae / Alphacoronavirus,Seasonal coronaviruses,Mild respiratory disease,Spike protein,Supportive care,
Human coronavirus OC43 (repeat ensured),Coronaviridae / Betacoronavirus,Seasonal coronaviruses,Mild respiratory disease,Spike protein,Supportive care,
Simian foamy virus (zoonotic potential),Retroviridae / Spumavirus,Non-human primate retroviruses,Zoonotic transmission; nonpathogenic in many cases,Reverse transcriptase,No therapy; surveillance,
"Human immunodeficiency virus type O (HIV-O, rare)",Retroviridae / Lentivirus,HIV-1/HIV-2 related groups,Rare group infecting humans in specific regions,Reverse transcriptase; integrase,ART (some regimen adjustments),
Human coronavirus (animal origin surveillance 2),Coronaviridae,Various animal coronaviruses,Surveillance group,Spike; RdRp,Surveillance,
Avian leukosis virus (ALV) (zoonotic research),Retroviridae / Alpharetrovirus,Avian retroviruses,Mostly animal pathogen with research interest,RT,N/A,
Human endogenous retrovirus (HERV-K) (research interest),Retrotransposon-derived sequences,Endogenous elements,Not an exogenous infection; research on potential expression in diseases,Reverse transcriptase-like proteins (defunct),Research tools only,
Orf virus (parapoxvirus),Poxviridae / Parapoxvirus,Zoonotic poxviruses,Skin lesions from sheep/goat contact,Envelope proteins; replication,Supportive; vaccines for animals,
Papaya mosaic virus (plant virus example),Potexvirus,Non-human plant virus,Included for family completeness,Replication proteins,N/A,
